Date,Open,High,Low,Close,Adj Close,Volume
2024-08-19,"1,665.00","1,685.00","1,659.05","1,678.50","1,656.41","1,631,947"
2024-08-16,"1,635.00","1,674.00","1,632.70","1,668.25","1,646.29","3,101,056"
2024-08-14,"1,600.10","1,629.75","1,598.25","1,626.15","1,604.75","3,932,148"
2024-08-13,"1,578.00","1,608.40","1,577.65","1,592.65","1,571.69","1,973,825"
2024-08-12,"1,590.00","1,600.50","1,573.85","1,585.25","1,564.39","1,273,739"
2024-08-09,"1,584.90","1,602.00","1,575.85","1,589.95","1,569.02","2,021,762"
2024-08-08,"1,597.00","1,602.00","1,554.55","1,557.85","1,537.35","2,373,805"
2024-08-07,"1,605.00","1,615.00","1,590.00","1,594.60","1,573.61","1,897,787"
2024-08-06,"1,563.00","1,605.00","1,563.00","1,582.75","1,561.92","2,138,704"
2024-08-05,"1,575.00","1,595.70","1,537.00","1,562.40","1,541.84","3,279,717"
2024-08-02,"1,620.05","1,639.00","1,601.15","1,609.30","1,588.12","1,692,851"
2024-08-01,"1,640.05","1,655.50","1,636.10","1,640.55","1,618.96","1,785,188"
2024-07-31,"1,621.00","1,645.00","1,619.20","1,642.60","1,620.98","1,984,986"
2024-07-30,"1,629.00","1,633.00","1,618.00","1,630.25","1,608.79","1,783,877"
2024-07-29,"1,640.20","1,645.00","1,620.00","1,632.35","1,610.87","1,639,491"
2024-07-26,"1,602.80","1,640.00","1,594.00","1,635.35","1,613.83","2,814,159"
2024-07-25,"1,570.00","1,594.00","1,562.85","1,587.60","1,566.71","2,934,731"
2024-07-24,"1,594.00","1,598.00","1,576.85","1,583.70","1,562.86","2,484,299"
2024-07-23,12.00 Dividend,,,,,
2024-07-23,"1,574.00","1,600.80","1,551.10","1,598.35","1,577.31","2,907,674"
2024-07-22,"1,588.60","1,594.50","1,570.90","1,577.10","1,544.50","2,704,495"
2024-07-19,"1,610.50","1,616.45","1,588.60","1,594.55","1,561.59","5,633,838"
2024-07-18,"1,558.05","1,599.25","1,557.00","1,594.55","1,561.59","4,399,468"
2024-07-16,"1,565.00","1,583.00","1,555.00","1,569.55","1,537.11","3,540,650"
2024-07-15,"1,580.00","1,636.40","1,567.40","1,569.60","1,537.16","10,337,489"
2024-07-12,"1,530.00","1,566.00","1,510.50","1,560.20","1,527.95","6,430,647"
2024-07-11,"1,515.00","1,534.00","1,508.05","1,511.90","1,480.65","3,304,053"
2024-07-10,"1,531.10","1,532.60","1,487.85","1,509.95","1,478.74","3,507,096"
2024-07-09,"1,533.40","1,546.30","1,525.00","1,531.10","1,499.45","2,658,608"
2024-07-08,"1,528.00","1,540.00","1,506.20","1,533.40","1,501.71","2,939,620"
2024-07-05,"1,523.00","1,529.25","1,505.55","1,519.40","1,487.99","3,061,687"
2024-07-04,"1,485.00","1,534.55","1,485.00","1,522.35","1,490.88","6,822,557"
2024-07-03,"1,489.00","1,489.00","1,471.20","1,481.00","1,450.39","2,070,876"
2024-07-02,"1,475.00","1,492.45","1,473.00","1,480.80","1,450.19","3,811,366"
2024-07-01,"1,465.00","1,478.60","1,455.00","1,468.85","1,438.49","3,723,295"
2024-06-28,"1,468.00","1,468.70","1,442.00","1,459.60","1,429.43","4,943,575"
2024-06-27,"1,435.00","1,460.55","1,423.50","1,454.90","1,424.83","6,613,193"
2024-06-26,"1,447.95","1,453.30","1,438.20","1,443.70","1,413.86","1,917,424"
2024-06-25,"1,440.95","1,450.10","1,426.45","1,447.95","1,418.02","2,079,037"
2024-06-24,"1,437.85","1,443.95","1,426.60","1,440.85","1,411.07","1,988,692"
2024-06-21,"1,462.00","1,481.95","1,439.20","1,447.85","1,417.92","6,489,262"
2024-06-20,"1,448.95","1,448.95","1,429.55","1,443.45","1,413.61","3,163,919"
2024-06-19,"1,440.05","1,451.90","1,430.30","1,445.85","1,415.96","3,117,522"
2024-06-18,"1,431.05","1,439.75","1,427.05","1,437.20","1,407.49","2,223,029"
2024-06-14,"1,444.15","1,446.00","1,424.40","1,431.05","1,401.47","3,065,114"
2024-06-13,"1,447.75","1,457.70","1,437.10","1,444.15","1,414.30","4,232,861"
2024-06-12,"1,472.00","1,472.00","1,434.50","1,438.75","1,409.01","5,990,861"
2024-06-11,"1,425.00","1,437.95","1,415.40","1,428.80","1,399.27","2,269,082"
2024-06-10,"1,440.00","1,442.00","1,397.50","1,418.75","1,389.42","3,293,739"
2024-06-07,"1,407.00","1,438.65","1,398.00","1,431.50","1,401.91","5,884,025"
2024-06-06,"1,354.00","1,399.80","1,350.90","1,397.50","1,368.61","5,936,709"
2024-06-05,"1,320.00","1,356.90","1,316.10","1,343.70","1,315.93","3,005,139"
2024-06-04,"1,325.00","1,325.00","1,235.00","1,303.55","1,276.61","5,447,244"
2024-06-03,"1,350.55","1,354.75","1,309.85","1,314.45","1,287.28","5,384,064"
2024-05-31,"1,331.85","1,340.90","1,315.75","1,324.10","1,296.73","10,319,045"
2024-05-30,"1,346.00","1,351.55","1,325.10","1,331.85","1,304.32","4,150,461"
2024-05-29,"1,366.00","1,366.60","1,346.95","1,353.10","1,325.13","3,845,920"
2024-05-28,"1,357.85","1,363.30","1,345.60","1,358.40","1,330.32","2,147,233"
2024-05-27,"1,351.00","1,359.60","1,338.00","1,353.30","1,325.33","1,942,325"
2024-05-24,"1,360.00","1,360.00","1,340.85","1,345.20","1,317.40","1,769,966"
2024-05-23,"1,346.65","1,358.45","1,338.00","1,353.55","1,325.57","3,326,149"
2024-05-22,"1,348.95","1,352.90","1,340.00","1,343.05","1,315.29","2,390,777"
2024-05-21,"1,314.00","1,349.85","1,314.00","1,341.90","1,314.16","4,966,721"
2024-05-17,"1,351.00","1,351.00","1,330.20","1,333.20","1,305.64","2,487,831"
2024-05-16,"1,345.00","1,357.80","1,328.50","1,348.15","1,320.28","5,055,915"
2024-05-15,"1,319.25","1,340.30","1,318.25","1,332.90","1,305.35","2,975,965"
2024-05-14,"1,322.00","1,326.95","1,308.70","1,321.05","1,293.74","3,200,462"
2024-05-13,"1,316.20","1,321.90","1,301.65","1,312.90","1,285.76","2,316,566"
2024-05-10,"1,320.10","1,322.90","1,303.60","1,316.20","1,288.99","3,357,203"
2024-05-09,"1,315.00","1,339.00","1,314.50","1,320.05","1,292.77","5,653,762"
2024-05-08,"1,330.95","1,334.00","1,307.30","1,313.65","1,286.50","6,832,455"
2024-05-07,18.00 Dividend,,,,,
2024-05-07,"1,347.95","1,348.90","1,326.15","1,330.95","1,303.44","5,096,525"
2024-05-06,"1,358.00","1,365.00","1,348.50","1,358.80","1,313.09","2,504,082"
2024-05-03,"1,370.00","1,370.00","1,333.55","1,348.05","1,302.70","5,964,228"
2024-05-02,"1,358.00","1,377.90","1,358.00","1,360.70","1,314.92","6,555,505"
2024-04-30,"1,376.40","1,397.90","1,362.45","1,366.60","1,320.62","7,606,726"
2024-04-29,"1,415.00","1,436.00","1,381.00","1,387.40","1,340.72","11,493,223"
2024-04-26,"1,516.85","1,531.45","1,464.95","1,473.85","1,424.27","4,328,477"
2024-04-25,"1,479.95","1,515.05","1,479.95","1,504.15","1,453.55","4,558,032"
